ingresos_ventas,activos,utilidad_neta,liquidez_corriente,ruc,certificada,nombre
99817.5,45239.36,-571.71,3.16,0992316144001,0.0,TABEL S.A.
4471206.32,2979142.08,-80836.46,0.53,0992311436001,0.0,MALIRI C.A.
175110.0,156283.16,92643.46,0.0,0992302178001,0.0,AQUACULTURA: INVESTIGACION Y DESARROLLO S.A. AQUAINDESA
3331706.15,2650204.81,58128.12,0.64,0992306092001,0.0,HARAUTE S.A.
970294.8,490288.06,-9328.61,6.6,0992295309001,0.0,ALBEMAR S.A.
341336.21,3724111.94,12805.7,1.78,0992591730001,0.0,ANSORENA S.A.
28805598.74,31999326.52,789034.45,0.51,0992592982001,0.0,ESTDICONST S.A.
3142722.09,1788562.23,-107634.8,0.76,0992593040001,0.0,PROMUSTERRA S.A.
4032643.73,8375061.96,1024084.33,1.27,0992597143001,0.0,COSUMISA S.A.
393408.03,234683.8,-4470.77,1.64,0992595280001,0.0,ECUACUICOLA S.A.
121933830.0,30056762.8,4559241.32,1.63,0992597895001,0.0,"PROEXPO, PROCESADORA Y EXPORTADORA DE MARISCOS S.A."
5938437.61,4677425.54,152363.78,3.09,0992397837001,0.0,CIMINOCORP S.A.
3616602.63,2543654.38,-84343.7,2.17,0992397829001,0.0,YMELMAR S.A.
3302693.19,12778522.9,47842.43,3.96,0992401591001,0.0,PRODUVETSA S.A.
433180.05,514828.52,3517.99,1.13,0992214473001,0.0,VINSOTEL S.A.
713864.91,497472.04,-39605.98,0.61,0992381299001,0.0,SERVISUERTE S.A.
10004351.09,20498471.06,143727.27,0.99,0992380942001,0.0,COMPAÑIA CAMARONERA FERASA S.A.
313592.12,1893431.5,-157079.93,0.39,0992386630001,0.0,MACODIS S.A.
156972.0,562412.46,11699.5,1.065,0992362944001,0.0,GABATI S.A.
6000.0,806139.41,-127520.76,0.33,0992364718001,0.0,VITRIN S.A.
2233524.56,7012868.38,62516.56,0.58,0992361212001,0.0,PROVEXPO S.A.
2478857.83,2712690.39,50604.79,0.36,0992451629001,0.0,RODYFLECSA S.A.
338510.56,53004.93,-1972.94,70.2,0992447400001,0.0,CEDEINEM S.A.
2180462.1,1952724.7,3942.0,0.0,0992433140001,0.0,BIGFISH S.A.
1547004.09,562641.41,11699.5,1.065,0992433485001,0.0,NATURALSELECT S.A.
2750514.81,2625966.19,204882.82,0.83,0992420081001,0.0,SUFALYNG S.A.
2584017.09,4433147.63,50669.14,0.22,0992421754001,0.0,LINGLE S.A.
