cia_imvalores,ingresos_ventas,activos,patrimonio,utilidad_an_imp,impuesto_renta,n_empleados,ingresos_totales,utilidad_ejercicio,total_gastos,ruc,certificada
0.0,1161315.58,701078.33,387369.79,70751.59,21706.29,14.0,1161315.58,83237.16,143135.03,0791734800001,0.0
0.0,1515797.4,560873.8,390167.65,105929.39,26077.76,12.0,1515797.4,124622.81,167494.31,0791734797001,0.0
0.0,2561357.04,1051231.06,319600.2,0.0,34535.29,10.0,2561357.04,0.0,510507.39,0791736196001,0.0
0.0,739212.96,556439.09,465066.81,25263.12,5572.76,10.0,739212.96,29721.32,162943.37,0791738601001,0.0
0.0,150.0,32488.48,32428.48,65.84,0.0,4.0,150.0,65.84,84.16,0791738857001,0.0
0.0,1029924.37,482191.28,27222.46,17032.38,4769.07,8.0,1033219.5,20038.09,171915.91,0791739551001,0.0
0.0,316379.45,315294.85,213021.69,8686.18,1910.96,4.0,316379.45,10219.03,134710.95,0791739810001,0.0
0.0,1405109.05,1187463.87,434804.9,0.0,11598.57,17.0,1405109.05,0.0,64553.3,0992638907001,0.0
0.0,280789.85,174528.79,107067.92,0.0,3509.79,7.0,280789.85,18448.09,0.0,0791740320001,0.0
0.0,785807.02,672558.86,74162.38,11014.25,2423.14,23.0,785807.02,11014.25,50793.28,1191734358001,0.0
0.0,1010651.1,298641.27,85561.02,9362.11,2340.53,26.0,1010754.09,11014.25,78411.02,1191734382001,0.0
0.0,2058825.56,9713069.83,3049232.53,-213694.38,0.0,24.0,2064348.15,-213694.38,354859.51,1391751737001,0.0
0.0,233774.09,1557549.31,74521.08,-53922.49,0.0,2.0,233774.09,-53922.49,94176.85,0992702435001,0.0
0.0,182160.0,503322.08,364393.29,2200.44,5476.34,3.0,182567.93,2588.75,154179.26,0992139501001,0.0
0.0,4258892.0,5775514.49,813762.25,0.0,59083.65,6.0,4262486.18,0.0,1241990.33,0992128526001,0.0
0.0,11660.0,110628.07,94745.02,0.0,0.0,4.0,11660.0,0.0,0.0,0992106980001,0.0
0.0,1642136.4,491561.16,246646.87,61576.33,15394.08,4.0,1642136.4,72442.74,600523.8,0992109262001,0.0
0.0,4120084.11,3944989.16,761006.56,588713.63,160546.31,28.0,4259215.89,692604.27,319811.82,0992212845001,0.0
0.0,26943534.8,27151795.66,17697521.28,2925155.4,467543.6,258.0,27897229.2,3441359.29,5606777.33,0992177373001,0.0
0.0,50.0,68731.53,36568.46,0.0,11.0,4.0,50.0,50.0,0.0,0992165758001,0.0
0.0,1063432.11,2598565.48,1937483.9,-170210.99,0.0,4.0,1063479.23,-170210.99,185797.34,0992151617001,0.0
0.0,575418.21,366786.89,69029.5,0.0,5716.39,10.0,575418.21,30568.9,0.0,0992267534001,0.0
0.0,14408993.53,12160005.67,3209683.73,1001171.01,308721.16,73.0,14413333.09,1182695.48,547626.53,0992265191001,0.0
0.0,1105889.31,341586.62,106726.69,0.0,5191.44,10.0,1105889.31,24430.3,0.0,0992267550001,0.0
0.0,0.0,758.21,422.61,0.0,0.0,2.0,0.0,0.0,0.0,0992288140001,0.0
0.0,127100.31,384094.33,106825.41,10988.39,2054.83,1.0,127100.31,109928.5,0.0,0992268417001,0.0
0.0,274191.56,185316.07,77704.74,0.0,836.32,10.0,274191.56,4472.31,155865.45,0992278927001,0.0
0.0,138600.0,45830.08,30391.48,-17248.03,0.0,21.0,138600.0,-17248.03,155848.03,0992270071001,0.0
0.0,2316079.34,1999956.38,633526.2,-4632.96,9016.93,36.0,2698355.38,42414.35,638917.49,0992249447001,0.0
0.0,502580.0,424090.03,190893.25,0.0,2002.42,11.0,502580.0,0.0,64052.25,0992252472001,0.0
0.0,33416.75,44307.15,-5265.51,2184.63,0.0,6.0,33416.75,2184.63,15612.85,0992232684001,0.0
0.0,1031195.54,1262840.11,814769.27,56905.15,14500.5,8.0,1037445.54,66947.24,114531.65,0992242930001,0.0
0.0,39525.6,459093.07,349742.87,1704.28,426.07,2.0,45775.6,2005.03,43770.57,0992239069001,0.0
